MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
66,0.0280244755372679,0.220018032970804,8,0,   1.6667      ,   0.6406      ,  64      
66,0.0280244755372679,0.220018032970804,8,1,   1.6667      ,   0.6190      ,  63      
66,0.0280244755372679,0.220018032970804,8,2,   1.3667      ,   0.6406      ,  64      
66,0.0280244755372679,0.220018032970804,8,3,   2.0667      ,   0.4839      ,  62      
66,0.0280244755372679,0.220018032970804,8,4,   1.5000      ,   0.4921      ,  63      
66,0.0280244755372679,0.220018032970804,8,5,   1.0667      ,   0.6667      ,  63      
66,0.0280244755372679,0.220018032970804,8,6,   1.9333      ,   0.5079      ,  63      
66,0.0280244755372679,0.220018032970804,8,7,   1.2333      ,   0.6875      ,  64      
66,0.0280244755372679,0.220018032970804,8,8,   1.2333      ,   0.6984      ,  63      
66,0.0280244755372679,0.220018032970804,8,9,   1.4333      ,   0.5938      ,  64      
66,0.0280244755372679,0.220018032970804,8,10,   1.2000      ,   0.5873      ,  63      
66,0.0280244755372679,0.220018032970804,8,11,   1.6000      ,   0.6406      ,  64      
66,0.0280244755372679,0.220018032970804,8,12,   0.8667      ,   0.6923      ,  65      
66,0.0280244755372679,0.220018032970804,8,13,   1.0667      ,   0.6613      ,  62      
66,0.0280244755372679,0.220018032970804,8,14,   0.6333      ,   0.7846      ,  65      
66,0.0280244755372679,0.220018032970804,8,15,   0.9667      ,   0.5846      ,  65      
66,0.0280244755372679,0.220018032970804,8,16,   0.5000      ,   0.7778      ,  63      
66,0.0280244755372679,0.220018032970804,8,17,   1.0667      ,   0.5846      ,  65      
66,0.0280244755372679,0.220018032970804,8,18,   0.9667      ,   0.6875      ,  64      
66,0.0280244755372679,0.220018032970804,8,19,   1.3000      ,   0.6094      ,  64      
66,0.0280244755372679,0.220018032970804,8,20,   1.9333      ,   0.4844      ,  64      
66,0.0280244755372679,0.220018032970804,8,21,   1.0333      ,   0.6875      ,  64      
66,0.0280244755372679,0.220018032970804,8,22,   1.7000      ,   0.5625      ,  64      
66,0.0280244755372679,0.220018032970804,8,23,   0.7000      ,   0.7031      ,  64      
None,0.0280244755372679,0,3,0,   1.9667      ,   0.5196      , 102      
None,0.0280244755372679,0,3,1,   0.7667      ,   0.7558      ,  86      
None,0.0280244755372679,0,3,2,   0.8333      ,   0.7568      ,  74      
None,0.0280244755372679,0,3,3,   2.5333      ,   0.4298      , 114      
None,0.0280244755372679,0,3,4,   1.4000      ,   0.4925      ,  67      
None,0.0280244755372679,0,3,5,   1.4000      ,   0.5522      ,  67      
None,0.0280244755372679,0,3,6,   1.7667      ,   0.5517      ,  87      
None,0.0280244755372679,0,3,7,   1.2000      ,   0.6145      ,  83      
None,0.0280244755372679,0,3,8,   0.8333      ,   0.7342      ,  79      
None,0.0280244755372679,0,3,9,   1.0667      ,   0.7000      ,  70      
None,0.0280244755372679,0,3,10,   0.8333      ,   0.6935      ,  62      
None,0.0280244755372679,0,3,11,   1.2333      ,   0.6562      ,  96      
None,0.0280244755372679,0,3,12,   0.9000      ,   0.6765      ,  68      
None,0.0280244755372679,0,3,13,   1.6000      ,   0.5059      ,  85      
None,0.0280244755372679,0,3,14,   0.5000      ,   0.8116      ,  69      
None,0.0280244755372679,0,3,15,   0.5000      ,   0.7609      ,  46      
None,0.0280244755372679,0,3,16,   0.7333      ,   0.6780      ,  59      
None,0.0280244755372679,0,3,17,   0.6667      ,   0.6949      ,  59      
None,0.0280244755372679,0,3,18,   0.7333      ,   0.7500      ,  64      
