MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
None,0.157451211201,0,3,0,   1.9333      ,   0.5532      ,  94      
None,0.157451211201,0,3,1,   1.7333      ,   0.5882      ,  85      
None,0.157451211201,0,3,2,   0.8333      ,   0.8421      ,  57      
None,0.157451211201,0,3,3,   3.2000      ,   0.3583      , 120      
None,0.157451211201,0,3,4,   0.9667      ,   0.6735      ,  49      
None,0.157451211201,0,3,5,   0.8333      ,   0.7818      ,  55      
None,0.157451211201,0,3,6,   1.2000      ,   0.7121      ,  66      
None,0.157451211201,0,3,7,   1.1000      ,   0.7302      ,  63      
None,0.157451211201,0,3,8,   0.9667      ,   0.7705      ,  61      
None,0.157451211201,0,3,9,   1.3333      ,   0.6389      ,  72      
None,0.157451211201,0,3,10,   0.6333      ,   0.7925      ,  53      
None,0.157451211201,0,3,11,   1.3333      ,   0.6667      ,  84      
None,0.157451211201,0,3,12,   0.7000      ,   0.7818      ,  55      
None,0.157451211201,0,3,13,   1.5667      ,   0.5385      ,  78      
None,0.157451211201,0,3,14,   0.6667      ,   0.8276      ,  58      
None,0.157451211201,0,3,15,   0.4667      ,   0.8095      ,  42      
None,0.157451211201,0,3,16,   0.1667      ,   0.9592      ,  49      
None,0.157451211201,0,3,17,   0.2333      ,   0.9200      ,  50      
None,0.157451211201,0,3,18,   0.2000      ,   0.9808      ,  52      
None,0.157451211201,0,3,19,   0.2333      ,   0.9630      ,  54      
None,0.157451211201,0,3,20,   2.5333      ,   0.4141      ,  99      
None,0.157451211201,0,3,21,   0.9000      ,   0.7736      ,  53      
None,0.157451211201,0,3,22,   1.5333      ,   0.5867      ,  75      
None,0.157451211201,0,3,23,   0.2667      ,   0.9362      ,  47      
66,0.157451211201,0,7,0,   2.0000      ,   0.5455      ,  66      
66,0.157451211201,0,7,1,   1.8667      ,   0.5606      ,  66      
66,0.157451211201,0,7,2,   0.9333      ,   0.7727      ,  66      
66,0.157451211201,0,7,3,   2.9667      ,   0.2923      ,  65      
66,0.157451211201,0,7,4,   1.4667      ,   0.5077      ,  65      
66,0.157451211201,0,7,5,   0.9667      ,   0.7077      ,  65      
66,0.157451211201,0,7,6,   1.3667      ,   0.6667      ,  66      
66,0.157451211201,0,7,7,   1.4667      ,   0.6364      ,  66      
66,0.157451211201,0,7,8,   0.9000      ,   0.7727      ,  66      
66,0.157451211201,0,7,9,   1.0000      ,   0.7273      ,  66      
66,0.157451211201,0,7,10,   0.9667      ,   0.6667      ,  66      
66,0.157451211201,0,7,11,   1.6000      ,   0.6364      ,  66      
66,0.157451211201,0,7,12,   0.8667      ,   0.6970      ,  66      
66,0.157451211201,0,7,13,   1.9333      ,   0.4394      ,  66      
66,0.157451211201,0,7,14,   0.5333      ,   0.8182      ,  66      
66,0.157451211201,0,7,15,   0.9000      ,   0.6061      ,  66      
66,0.157451211201,0,7,16,   0.6667      ,   0.7273      ,  66      
66,0.157451211201,0,7,17,   0.7333      ,   0.6970      ,  66      
66,0.157451211201,0,7,18,   0.5333      ,   0.8030      ,  66      
66,0.157451211201,0,7,19,   0.6333      ,   0.7879      ,  66      
66,0.157451211201,0,7,20,   2.7667      ,   0.2576      ,  66      
66,0.157451211201,0,7,21,   1.0333      ,   0.6970      ,  66      
66,0.157451211201,0,7,22,   1.6333      ,   0.5538      ,  65      
66,0.157451211201,0,7,23,   0.7000      ,   0.7121      ,  66      
66,0.157451211201,0.00120806965197976,8,0,   1.9333      ,   0.5606      ,  66      
66,0.157451211201,0.00120806965197976,8,1,   1.9667      ,   0.5455      ,  66      
66,0.157451211201,0.00120806965197976,8,2,   1.0667      ,   0.7424      ,  66      
66,0.157451211201,0.00120806965197976,8,3,   2.9667      ,   0.2923      ,  65      
66,0.157451211201,0.00120806965197976,8,4,   1.5667      ,   0.4769      ,  65      
66,0.157451211201,0.00120806965197976,8,5,   1.0000      ,   0.7077      ,  65      
66,0.157451211201,0.00120806965197976,8,6,   1.2667      ,   0.6970      ,  66      
66,0.157451211201,0.00120806965197976,8,7,   1.6333      ,   0.5909      ,  66      
66,0.157451211201,0.00120806965197976,8,8,   0.9000      ,   0.7727      ,  66      
66,0.157451211201,0.00120806965197976,8,9,   1.1333      ,   0.6970      ,  66      
66,0.157451211201,0.00120806965197976,8,10,   1.0000      ,   0.6515      ,  66      
66,0.157451211201,0.00120806965197976,8,11,   1.6000      ,   0.6364      ,  66      
66,0.157451211201,0.00120806965197976,8,12,   0.8667      ,   0.6970      ,  66      
66,0.157451211201,0.00120806965197976,8,13,   1.8000      ,   0.4697      ,  66      
66,0.157451211201,0.00120806965197976,8,14,   0.6000      ,   0.8030      ,  66      
66,0.157451211201,0.00120806965197976,8,15,   0.9000      ,   0.6061      ,  66      
66,0.157451211201,0.00120806965197976,8,16,   0.6667      ,   0.7273      ,  66      
66,0.157451211201,0.00120806965197976,8,17,   0.7000      ,   0.7121      ,  66      
66,0.157451211201,0.00120806965197976,8,18,   0.5667      ,   0.7879      ,  66      
66,0.157451211201,0.00120806965197976,8,19,   0.6333      ,   0.7879      ,  66      
66,0.157451211201,0.00120806965197976,8,20,   2.7333      ,   0.2576      ,  66      
66,0.157451211201,0.00120806965197976,8,21,   1.1667      ,   0.6667      ,  66      
66,0.157451211201,0.00120806965197976,8,22,   1.5667      ,   0.5758      ,  66      
66,0.157451211201,0.00120806965197976,8,23,   0.8000      ,   0.6818      ,  66      
None,0,0.00120806965197976,2,0,   2.2333      ,   0.4737      ,  95      
None,0,0.00120806965197976,2,1,   1.9000      ,   0.5057      ,  87      
None,0,0.00120806965197976,2,2,   1.3000      ,   0.6557      ,  61      
None,0,0.00120806965197976,2,3,   3.2333      ,   0.3543      , 127      
None,0,0.00120806965197976,2,4,   1.0000      ,   0.6136      ,  44      
None,0,0.00120806965197976,2,5,   1.1667      ,   0.6271      ,  59      
None,0,0.00120806965197976,2,6,   1.2333      ,   0.6719      ,  64      
None,0,0.00120806965197976,2,7,   1.2333      ,   0.6575      ,  73      
None,0,0.00120806965197976,2,8,   1.0000      ,   0.7077      ,  65      
None,0,0.00120806965197976,2,9,   1.6000      ,   0.5200      ,  75      
None,0,0.00120806965197976,2,10,   1.2667      ,   0.5263      ,  57      
None,0,0.00120806965197976,2,11,   1.5333      ,   0.6024      ,  83      
None,0,0.00120806965197976,2,12,   0.8333      ,   0.7037      ,  54      
None,0,0.00120806965197976,2,13,   1.8333      ,   0.4416      ,  77      
None,0,0.00120806965197976,2,14,   0.6000      ,   0.8036      ,  56      
None,0,0.00120806965197976,2,15,   0.6667      ,   0.6889      ,  45      
None,0,0.00120806965197976,2,16,   0.6333      ,   0.7115      ,  52      
None,0,0.00120806965197976,2,17,   0.6000      ,   0.7736      ,  53      
None,0,0.00120806965197976,2,18,   0.4333      ,   0.8654      ,  52      
None,0,0.00120806965197976,2,19,   1.0333      ,   0.6415      ,  53      
None,0,0.00120806965197976,2,20,   2.9000      ,   0.3263      ,  95      
None,0,0.00120806965197976,2,21,   0.9000      ,   0.6842      ,  57      
None,0,0.00120806965197976,2,22,   2.0333      ,   0.4133      ,  75      
None,0,0.00120806965197976,2,23,   0.3000      ,   0.8958      ,  48      
None,0.157451211201,0.00120806965197976,4,0,   1.9000      ,   0.5591      ,  93      
None,0.157451211201,0.00120806965197976,4,1,   1.7000      ,   0.5952      ,  84      
None,0.157451211201,0.00120806965197976,4,2,   0.8333      ,   0.8421      ,  57      
None,0.157451211201,0.00120806965197976,4,3,   3.1000      ,   0.3675      , 117      
None,0.157451211201,0.00120806965197976,4,4,   1.0333      ,   0.6596      ,  47      
None,0.157451211201,0.00120806965197976,4,5,   0.8333      ,   0.7818      ,  55      
None,0.157451211201,0.00120806965197976,4,6,   1.2667      ,   0.6970      ,  66      
None,0.157451211201,0.00120806965197976,4,7,   1.1000      ,   0.7302      ,  63      
None,0.157451211201,0.00120806965197976,4,8,   0.9667      ,   0.7705      ,  61      
None,0.157451211201,0.00120806965197976,4,9,   1.3000      ,   0.6479      ,  71      
None,0.157451211201,0.00120806965197976,4,10,   0.7333      ,   0.7593      ,  54      
None,0.157451211201,0.00120806965197976,4,11,   1.1667      ,   0.6941      ,  85      
None,0.157451211201,0.00120806965197976,4,12,   0.5667      ,   0.8302      ,  53      
None,0.157451211201,0.00120806965197976,4,13,   1.6000      ,   0.5325      ,  77      
None,0.157451211201,0.00120806965197976,4,14,   0.6667      ,   0.8276      ,  58      
None,0.157451211201,0.00120806965197976,4,15,   0.4667      ,   0.8095      ,  42      
None,0.157451211201,0.00120806965197976,4,16,   0.1667      ,   0.9592      ,  49      
None,0.157451211201,0.00120806965197976,4,17,   0.2000      ,   0.9388      ,  49      
None,0.157451211201,0.00120806965197976,4,18,   0.2000      ,   0.9808      ,  52      
None,0.157451211201,0.00120806965197976,4,19,   0.3000      ,   0.9615      ,  52      
None,0.157451211201,0.00120806965197976,4,20,   2.5667      ,   0.4100      , 100      
None,0.157451211201,0.00120806965197976,4,21,   0.8000      ,   0.8077      ,  52      
None,0.157451211201,0.00120806965197976,4,22,   1.6667      ,   0.5600      ,  75      
None,0.157451211201,0.00120806965197976,4,23,   0.2667      ,   0.9362      ,  47      
66,0,0,5,0,   2.1333      ,   0.5082      ,  61      
66,0,0,5,1,   2.1000      ,   0.5000      ,  60      
66,0,0,5,2,   1.5667      ,   0.5385      ,  52      
66,0,0,5,3,   2.8667      ,   0.2727      ,  55      
66,0,0,5,4,   1.2000      ,   0.5385      ,  52      
66,0,0,5,5,   1.2333      ,   0.6296      ,  54      
66,0,0,5,6,   1.8667      ,   0.5091      ,  55      
66,0,0,5,7,   1.4333      ,   0.6250      ,  56      
66,0,0,5,8,   1.2333      ,   0.7018      ,  57      
66,0,0,5,9,   1.7333      ,   0.5283      ,  53      
66,0,0,5,10,   1.1667      ,   0.5686      ,  51      
66,0,0,5,11,   2.2667      ,   0.4516      ,  62      
66,0,0,5,12,   0.7667      ,   0.7358      ,  53      
66,0,0,5,13,   1.8333      ,   0.4333      ,  60      
66,0,0,5,14,   0.6000      ,   0.8182      ,  55      
66,0,0,5,15,   0.9333      ,   0.5769      ,  52      
66,0,0,5,16,   0.7000      ,   0.6923      ,  52      
66,0,0,5,17,   0.6333      ,   0.7593      ,  54      
66,0,0,5,18,   0.7333      ,   0.7959      ,  49      
66,0,0,5,19,   0.9667      ,   0.6800      ,  50      
66,0,0,5,20,   2.7000      ,   0.2459      ,  61      
66,0,0,5,21,   1.0000      ,   0.7037      ,  54      
66,0,0,5,22,   2.0667      ,   0.3860      ,  57      
66,0,0,5,23,   0.4667      ,   0.8077      ,  52      
66,0,0.00120806965197976,6,0,   2.1000      ,   0.5082      ,  61      
66,0,0.00120806965197976,6,1,   2.1333      ,   0.5000      ,  62      
66,0,0.00120806965197976,6,2,   1.6333      ,   0.5385      ,  52      
66,0,0.00120806965197976,6,3,   2.8333      ,   0.2857      ,  56      
66,0,0.00120806965197976,6,4,   1.2000      ,   0.5636      ,  55      
66,0,0.00120806965197976,6,5,   1.3333      ,   0.5614      ,  57      
66,0,0.00120806965197976,6,6,   1.8000      ,   0.5283      ,  53      
66,0,0.00120806965197976,6,7,   1.3667      ,   0.6545      ,  55      
66,0,0.00120806965197976,6,8,   1.3000      ,   0.6842      ,  57      
66,0,0.00120806965197976,6,9,   1.7333      ,   0.5283      ,  53      
66,0,0.00120806965197976,6,10,   1.2000      ,   0.5600      ,  50      
66,0,0.00120806965197976,6,11,   2.1333      ,   0.4839      ,  62      
