MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
66,0.410122763411552,0,7,0,   1.4000      ,   0.6970      ,  66      
66,0.410122763411552,0,7,1,   1.4667      ,   0.6667      ,  66      
66,0.410122763411552,0,7,2,   0.5333      ,   0.8636      ,  66      
66,0.410122763411552,0,7,3,   2.1000      ,   0.4769      ,  65      
66,0.410122763411552,0,7,4,   1.1667      ,   0.5846      ,  65      
66,0.410122763411552,0,7,5,   0.4667      ,   0.8182      ,  66      
66,0.410122763411552,0,7,6,   1.1667      ,   0.6970      ,  66      
66,0.410122763411552,0,7,7,   0.8667      ,   0.7576      ,  66      
66,0.410122763411552,0,7,8,   0.8667      ,   0.7727      ,  66      
66,0.410122763411552,0,7,9,   1.2000      ,   0.6818      ,  66      
66,0.410122763411552,0,7,10,   0.7333      ,   0.7121      ,  66      
66,0.410122763411552,0,7,11,   1.2667      ,   0.7273      ,  66      
66,0.410122763411552,0,7,12,   0.6667      ,   0.7424      ,  66      
66,0.410122763411552,0,7,13,   1.0000      ,   0.6667      ,  66      
66,0.410122763411552,0,7,14,   0.4000      ,   0.8615      ,  65      
66,0.410122763411552,0,7,15,   0.5000      ,   0.7273      ,  55      
66,0.410122763411552,0,7,16,   0.5667      ,   0.7538      ,  65      
66,0.410122763411552,0,7,17,   0.5667      ,   0.7424      ,  66      
66,0.410122763411552,0,7,18,   0.3667      ,   0.8333      ,  66      
66,0.410122763411552,0,7,19,   0.4667      ,   0.8182      ,  66      
66,0.410122763411552,0,7,20,   1.3667      ,   0.6212      ,  66      
66,0.410122763411552,0,7,21,   0.7667      ,   0.7424      ,  66      
66,0.410122763411552,0,7,22,   1.4667      ,   0.6061      ,  66      
66,0.410122763411552,0,7,23,   0.7000      ,   0.6769      ,  65      
66,0,0,5,0,   1.9333      ,   0.4878      ,  41      
66,0,0,5,1,   1.9000      ,   0.4884      ,  43      
66,0,0,5,2,   1.5333      ,   0.5682      ,  44      
66,0,0,5,3,   2.1000      ,   0.3636      ,  44      
66,0,0,5,4,   1.3667      ,   0.5476      ,  42      
66,0,0,5,5,   1.1333      ,   0.6512      ,  43      
66,0,0,5,6,   1.7333      ,   0.4889      ,  45      
66,0,0,5,7,   1.6000      ,   0.5455      ,  44      
66,0,0,5,8,   1.5333      ,   0.5682      ,  44      
66,0,0,5,9,   1.8667      ,   0.4000      ,  40      
66,0,0,5,10,   1.2333      ,   0.5500      ,  40      
66,0,0,5,11,   1.9667      ,   0.4545      ,  44      
66,0,0,5,12,   0.7000      ,   0.8140      ,  43      
66,0,0,5,13,   1.0667      ,   0.6667      ,  42      
66,0,0,5,14,   1.2333      ,   0.6364      ,  44      
66,0,0,5,15,   1.0333      ,   0.5000      ,  46      
66,0,0,5,16,   0.8000      ,   0.6977      ,  43      
66,0,0,5,17,   0.8667      ,   0.6905      ,  42      
66,0,0,5,18,   1.1333      ,   0.6364      ,  44      
