LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size,"
Hyperparameter set"
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,0,0.7,0.8649,74,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,1,0.6667,0.7679,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,2,0.5667,0.8431,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,3,0.3,0.9667,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,4,0.4667,0.9434,53,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,5,1.6333,0.589,73,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,6,0.3333,0.9474,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,7,0.7667,0.8,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,8,0.5667,0.8036,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,9,0.6667,0.8358,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,10,2.2333,0.4699,83,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,11,0.6667,0.7895,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,12,0.1333,1.0,47,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,13,2.8667,0.3373,83,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,14,0.2667,0.902,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,15,0.6,0.8333,54,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,16,0.8667,0.7846,65,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,17,0.3333,0.9483,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,18,0.4667,0.8571,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,19,0.4333,0.8772,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,20,0.3667,0.902,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,21,0.4,0.8966,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,22,0.3667,0.907,43,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,23,0.2,0.9464,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,0,2.0,0.4881,84,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,1,0.6667,0.8333,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,2,1.1333,0.6774,62,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,3,0.3,0.9661,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,4,0.4333,0.8413,63,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,5,0.5667,0.8333,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,6,0.6333,0.8209,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,7,0.4667,0.8852,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,8,0.9,0.8088,68,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,9,0.7333,0.7966,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,10,1.3,0.6957,69,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,11,1.4,0.6508,63,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,12,0.4333,0.898,49,STE_Logistic_84
