LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
0.1,0.01,0.001,0.1,8,0,3.0333,0.2115,52
0.1,0.01,0.001,0.1,8,1,3.4,0.1373,51
0.1,0.01,0.001,0.1,8,2,3.2333,0.1132,53
0.1,0.01,0.001,0.1,8,3,3.3,0.1,50
0.1,0.01,0.001,0.1,8,4,2.6333,0.18,50
0.1,0.01,0.001,0.1,8,5,2.7333,0.2115,52
0.1,0.01,0.001,0.1,8,6,3.0667,0.1569,51
0.1,0.01,0.001,0.1,8,7,3.1,0.1509,53
0.1,0.01,0.001,0.1,8,8,3.1,0.1455,55
0.1,0.01,0.001,0.1,8,9,3.2333,0.1296,54
0.1,0.01,0.001,0.1,8,10,2.5333,0.1961,51
0.1,0.01,0.001,0.1,8,11,3.2,0.2115,52
0.1,0.01,0.001,0.1,8,12,2.4,0.2857,56
0.1,0.01,0.001,0.1,8,13,2.7,0.2182,55
0.1,0.01,0.001,0.1,8,14,2.9667,0.1154,52
0.1,0.01,0.001,0.1,8,15,2.0,0.25,56
0.1,0.01,0.001,0.1,8,16,2.3667,0.1875,48
0.1,0.01,0.001,0.1,8,17,2.6333,0.1176,51
0.1,0.01,0.001,0.1,8,18,2.9,0.1698,53
0.1,0.01,0.001,0.1,8,19,3.0667,0.1429,56
0.1,0.01,0.001,0.1,8,20,3.4667,0.0727,55
0.1,0.01,0.001,0.1,8,21,2.8667,0.1964,56
0.1,0.01,0.001,0.1,8,22,3.0333,0.16,50
0.1,0.01,0.001,0.1,8,23,2.2667,0.2759,58
1.0,1.0,1.0,0.01,139,0,2.2,0.4655,58
1.0,1.0,1.0,0.01,139,1,2.1,0.4561,57
1.0,1.0,1.0,0.01,139,2,1.7333,0.5,48
1.0,1.0,1.0,0.01,139,3,2.0667,0.4545,55
1.0,1.0,1.0,0.01,139,4,1.6333,0.4565,46
1.0,1.0,1.0,0.01,139,5,1.6,0.5,52
1.0,1.0,1.0,0.01,139,6,2.3,0.3509,57
1.0,1.0,1.0,0.01,139,7,1.8,0.5179,56
1.0,1.0,1.0,0.01,139,8,1.8,0.5094,53
1.0,1.0,1.0,0.01,139,9,1.9333,0.4615,52
1.0,1.0,1.0,0.01,139,10,1.1667,0.6136,44
1.0,1.0,1.0,0.01,139,11,2.2333,0.4375,48
1.0,1.0,1.0,0.01,139,12,1.2667,0.5849,53
1.0,1.0,1.0,0.01,139,13,1.8,0.451,51
