LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
100.0,10.0,0.1,0.1,316,0,6.2667,0.1938,227
100.0,10.0,0.1,0.1,316,1,6.3,0.2085,235
100.0,10.0,0.1,0.1,316,2,4.3333,0.2865,178
100.0,10.0,0.1,0.1,316,3,9.6333,0.1355,332
100.0,10.0,0.1,0.1,316,4,4.6333,0.1437,160
100.0,10.0,0.1,0.1,316,5,5.4,0.203,202
100.0,10.0,0.1,0.1,316,6,5.6333,0.1759,199
100.0,10.0,0.1,0.1,316,7,6.6333,0.186,242
100.0,10.0,0.1,0.1,316,8,5.5,0.2146,205
100.0,10.0,0.1,0.1,316,9,8.2667,0.1408,284
100.0,10.0,0.1,0.1,316,10,4.5333,0.2024,168
100.0,10.0,0.1,0.1,316,11,7.2,0.1808,260
100.0,10.0,0.1,0.1,316,12,4.4667,0.213,169
100.0,10.0,0.1,0.1,316,13,6.8333,0.15,240
100.0,10.0,0.1,0.1,316,14,5.4,0.203,202
100.0,10.0,0.1,0.1,316,15,3.5,0.2446,139
100.0,10.0,0.1,0.1,316,16,3.6333,0.2324,142
100.0,10.0,0.1,0.1,316,17,4.6333,0.1988,171
100.0,10.0,0.1,0.1,316,18,4.1333,0.2208,154
100.0,10.0,0.1,0.1,316,19,4.5,0.2071,169
100.0,10.0,0.1,0.1,316,20,7.0333,0.1633,251
100.0,10.0,0.1,0.1,316,21,4.7,0.2432,185
100.0,10.0,0.1,0.1,316,22,6.6667,0.1765,238
100.0,10.0,0.1,0.1,316,23,4.2333,0.2112,161
0.1,0.01,0.0,0.0001,1,0,6.7667,0.188,234
0.1,0.01,0.0,0.0001,1,1,6.3,0.2301,239
0.1,0.01,0.0,0.0001,1,2,5.6667,0.217,212
0.1,0.01,0.0,0.0001,1,3,7.2333,0.1712,257
0.1,0.01,0.0,0.0001,1,4,5.4667,0.1534,189
0.1,0.01,0.0,0.0001,1,5,5.2333,0.2053,190
0.1,0.01,0.0,0.0001,1,6,6.2,0.207,227
0.1,0.01,0.0,0.0001,1,7,6.4667,0.1905,231
0.1,0.01,0.0,0.0001,1,8,6.2667,0.1872,219
0.1,0.01,0.0,0.0001,1,9,7.3667,0.1535,254
0.1,0.01,0.0,0.0001,1,10,5.0,0.2022,183
0.1,0.01,0.0,0.0001,1,11,6.3,0.1956,225
0.1,0.01,0.0,0.0001,1,12,4.2667,0.2393,163
0.1,0.01,0.0,0.0001,1,13,5.4667,0.1856,194
0.1,0.01,0.0,0.0001,1,14,5.8333,0.212,217
0.1,0.01,0.0,0.0001,1,15,4.2667,0.1895,153
0.1,0.01,0.0,0.0001,1,16,5.1333,0.1882,186
0.1,0.01,0.0,0.0001,1,17,5.4,0.1613,186
