LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size,"
Hyperparameter set"
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,0,1.5333,0.5323,62,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,1,0.3667,0.8727,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,2,0.0667,0.9804,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,3,0.7667,0.7895,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,4,0.3,0.875,48,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,5,0.4,0.9394,66,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,6,0.9333,0.7069,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,7,1.2667,0.6923,65,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,8,0.5333,0.8571,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,9,0.1333,0.9796,49,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,10,0.9,0.7931,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,11,0.3667,0.918,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,12,1.0,0.7368,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,13,1.1333,0.7273,66,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,14,0.6,0.7619,42,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,15,0.7333,0.7963,54,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,16,0.5333,0.8333,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,17,1.0667,0.7288,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,18,0.1333,0.9808,52,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,19,0.8333,0.7667,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,6,20,0.9,0.7018,57,STE_Logistic_84
