MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count
66,0.1,0.01,0,0.0001,0,0,0,2.369004057299706,17.467532952626545,53,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.4339622641509434,337
66,0.1,0.01,0,0.0001,0,0,1,2.6550397872924805,69.47464688618977,53,2.466666666666667,2.3,0.3582089552238806,0.3584905660377358,390
66,0.1,0.01,0,0.0001,0,0,2,1.5573522544676257,9.395650068918863,50,2.1,2.1333333333333333,0.3125,0.42,317
66,0.1,0.01,0,0.0001,0,0,3,2.5279080637039675,102.79315694173177,57,2.7,2.566666666666667,0.2857142857142857,0.24561403508771928,304
66,0.1,0.01,0,0.01,0,0,0,5.251771342369818,52.580665588378906,55,3.4,3.3666666666666667,0.11594202898550725,0.12727272727272726,50
66,0.1,0.01,0,0.001,0,0,0,2.138180548144925,25.400628089904785,56,2.8,2.8333333333333335,0.2463768115942029,0.32142857142857145,158
66,0.1,0.01,0,0.0001,0,0,4,1.5150128564526957,4.791969299316406,48,1.9,1.9666666666666666,0.3333333333333333,0.375,287
66,0.1,0.01,0,0.001,0,0,1,1.9619563625704857,65.46438916524251,53,2.8333333333333335,2.8333333333333335,0.22388059701492538,0.2830188679245283,173
66,0.1,0.01,0,0.01,0,0,1,3.8494419436300955,28.947262446085613,51,3.3333333333333335,3.3333333333333335,0.1044776119402985,0.13725490196078433,40
66,0.1,0.01,0,0.0001,0,0,5,1.4502447766642417,9.515873591105143,49,1.8333333333333333,1.7333333333333334,0.42105263157894735,0.42857142857142855,243
66,0.1,0.01,0,0.01,0,0,2,2.7367076412323983,12.596678733825684,51,2.966666666666667,2.933333333333333,0.15625,0.17647058823529413,46
66,0.1,0.01,0,0.001,0,0,2,1.7135900374381774,8.307253440221151,53,2.933333333333333,2.8333333333333335,0.203125,0.18867924528301888,172
66,0.1,0.01,0,0.0001,0,0,6,1.8893430732911634,6.583468357721965,53,2.033333333333333,1.9,0.421875,0.4339622641509434,265
66,0.1,0.01,0,0.1,0,0,0,4.440486977177281,36.76149241129557,51,3.2666666666666666,3.2333333333333334,0.13043478260869565,0.1568627450980392,23
66,0.1,0.01,0.001,0.001,0,0,0,2.4050436712080434,53.71661186218262,53,3.1333333333333333,3.066666666666667,0.15942028985507245,0.16981132075471697,180
66,0.1,0.01,0,0.01,0,0,3,4.122286550460323,145.01430130004883,47,3.0,3.0,0.09523809523809523,0.1276595744680851,38
