MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count
,0.1,0.01,0,0.0001,0,0,0,0.9755671735732786,7.8904041449228925,234,6.766666666666667,6.7,0.6666666666666666,0.18803418803418803,430
,0.1,0.01,0,0.0001,0,0,1,0.8686002819768844,39.34611988067627,239,6.3,6.266666666666667,0.835820895522388,0.2301255230125523,378
,0.1,0.01,0,0.0001,0,0,2,0.8119978366359588,8.68387484550476,212,5.666666666666667,5.533333333333333,0.78125,0.2169811320754717,323
,0.1,0.01,0,0.001,0,0,0,0.754275873784096,70.92574119567871,202,6.233333333333333,6.166666666666667,0.5217391304347826,0.16831683168316833,261
,0.1,0.01,0,0.0001,0,0,3,0.9619262718385265,72.58822695414226,257,7.233333333333333,7.233333333333333,0.6984126984126984,0.17120622568093385,407
,0.1,0.01,0,0.001,0,0,1,0.7241398788267567,35.341611544291176,189,5.8,5.8,0.5223880597014925,0.18518518518518517,234
,0.1,0.01,0,0.0001,0,0,4,0.8660172954682381,8.359421650568644,189,5.466666666666667,5.3,0.7083333333333334,0.15343915343915343,320
,0.1,0.01,0,0.001,0,0,2,0.6511222393281998,10.661006450653076,163,4.9,4.766666666666667,0.515625,0.17791411042944785,183
,0.1,0.01,0,0.01,0,0,0,0.7624241536663424,27.365238189697266,174,5.333333333333333,5.266666666666667,0.5217391304347826,0.19540229885057472,164
,0.1,0.01,0,0.0001,0,0,5,0.7848067302857676,6.223213275273641,190,5.233333333333333,5.133333333333334,0.7368421052631579,0.20526315789473684,297
,0.1,0.01,0,0.001,0,0,3,0.6681192190416397,95.43521626790364,214,6.733333333333333,6.666666666666667,0.5238095238095238,0.14485981308411214,253
,0.1,0.01,0,0.01,0,0,1,0.808002435391949,67.1298058827718,213,6.633333333333334,6.6,0.47761194029850745,0.14553990610328638,198
,0.1,0.01,0,0.0001,0,0,6,0.7743131768318915,4.6883305311203,227,6.2,6.166666666666667,0.75,0.20704845814977973,332
,0.1,0.01,0,0.001,0,0,4,0.718054311890756,12.698041280110678,141,4.3,4.266666666666667,0.5,0.16312056737588654,162
,0.1,0.01,0,0.01,0,0,2,0.6459102919024806,12.208763440450033,172,5.033333333333333,5.033333333333333,0.546875,0.20348837209302326,173
,0.1,0.01,0,0.001,0,0,5,0.6130096249042019,9.149019718170166,167,5.433333333333334,5.3,0.3684210526315789,0.10179640718562874,213
,0.1,0.01,0,0.01,0,0,3,0.7606844190628298,132.05511856079102,205,6.666666666666667,6.633333333333334,0.4444444444444444,0.13170731707317074,182
,0.1,0.01,0,0.0001,0,0,7,0.898209479547316,7.271329641342163,231,6.466666666666667,6.4,0.7419354838709677,0.19047619047619047,340
,0.1,0.01,0,0.001,0,0,6,0.6861795417724117,5.511224190394084,175,5.266666666666667,5.133333333333334,0.546875,0.17714285714285713,209
,0.1,0.01,0,0.01,0,0,4,0.725020618207993,19.58925151824951,151,5.0,4.866666666666666,0.4375,0.11258278145695365,151
,0.1,0.01,0,0.0001,0,0,8,0.8092364534254997,10.892748991648356,219,6.266666666666667,6.133333333333334,0.7142857142857143,0.1872146118721461,354
,0.1,0.01,0,0.001,0,0,7,0.6911945977518635,12.64391533533732,189,5.466666666666667,5.333333333333333,0.6935483870967742,0.20634920634920634,224
,0.1,0.01,0,0.01,0,0,5,0.7804694021901777,30.839718500773113,177,6.2,6.133333333333334,0.3157894736842105,0.0903954802259887,189
,0.1,0.01,0,0.0001,0,0,9,0.8297456329868685,20.247137864430744,254,7.366666666666666,7.3,0.6721311475409836,0.15354330708661418,350
,0.1,0.01,0,0.001,0,0,8,0.6295078492933704,7.559983730316162,188,5.333333333333333,5.233333333333333,0.6507936507936508,0.20212765957446807,214
,0.1,0.01,0,0.01,0,0,6,0.7165494926514164,10.727945486704508,182,5.966666666666667,5.9,0.375,0.12087912087912088,178
,0.1,0.01,0.001,0.0001,0,0,0,0.9605682165391983,45.65453815460205,298,8.833333333333334,8.766666666666667,0.6521739130434783,0.14429530201342283,368
,0.1,0.01,0,0.1,0,0,0,0.7118783420132052,61.22708956400553,195,6.4,6.3,0.43478260869565216,0.13846153846153847,170
,0.1,0.01,0,0.001,0,0,9,0.6178748357680536,28.32111358642578,191,6.0,5.933333333333334,0.47540983606557374,0.14136125654450263,221
,0.1,0.01,0,0.0001,0,0,10,0.7500201175289769,3.365259369214376,183,5.0,4.833333333333333,0.8235294117647058,0.20218579234972678,280
,0.1,0.01,0.001,0.01,0,0,0,0.7461084358153804,30.98582585652669,257,8.4,8.2,0.43478260869565216,0.0933852140077821,166
,0.1,0.01,0,0.01,0,0,7,0.8543447679088961,34.789648373921715,185,6.0,5.9,0.45161290322580644,0.13513513513513514,180
,0.1,0.01,0.001,0.0001,0,0,1,0.8438120618943246,65.34703254699707,281,7.666666666666667,7.6,0.835820895522388,0.19217081850533807,375
,0.1,0.01,0,0.1,0,0,1,0.736257464654984,75.82280667622884,191,5.966666666666667,5.9,0.4925373134328358,0.16230366492146597,179
,0.1,0.01,0,0.001,0,0,10,0.6774959987209689,7.926096121470134,157,4.833333333333333,4.733333333333333,0.5098039215686274,0.1464968152866242,195
,0.1,0.01,0.001,0.0001,0,0,2,0.8420458878240278,10.110453844070435,281,7.966666666666667,7.833333333333333,0.78125,0.16370106761565836,317
,0.1,0.01,0,0.1,0,0,2,0.6194964224292386,17.175338904062908,166,5.266666666666667,5.166666666666667,0.5,0.1746987951807229,160
,0.1,0.01,0,0.01,0,0,8,0.8752381782377919,11.938453992207846,182,5.633333333333334,5.533333333333333,0.5873015873015873,0.18681318681318682,192
,0.1,0.01,0,0.0001,0,0,11,1.089983513278346,21.737959543863933,225,6.3,6.233333333333333,0.6764705882352942,0.19555555555555557,360
,0.1,0.01,0.001,0.01,0,0,1,0.7932100372929727,46.75025876363119,267,8.366666666666667,8.333333333333334,0.5223880597014925,0.12734082397003746,180
,0.1,0.01,0,0.001,0,0,11,0.7175324693802865,86.49651209513347,208,5.9,5.933333333333334,0.6176470588235294,0.20673076923076922,232
,0.1,0.01,0,0.1,0,0,3,0.7705433330228252,79.74462954203288,198,5.8,5.766666666666667,0.6507936507936508,0.20202020202020202,171
,0.1,0.01,0.001,0.0001,0,0,3,1.0215902347718515,60.414285024007164,305,9.166666666666666,9.133333333333333,0.6666666666666666,0.13442622950819672,405
,0.1,0.01,0,0.01,0,0,9,0.6837756403030888,34.94796212514242,187,6.266666666666667,6.233333333333333,0.3770491803278688,0.11764705882352941,190
,0.1,0.01,0.001,0.1,0,0,0,0.7490084786568919,111.38719813028972,260,8.433333333333334,8.366666666666667,0.4492753623188406,0.11153846153846154,179
,0.1,0.01,0,0.0001,0,0,12,0.7988712037763288,3.292956074078878,163,4.266666666666667,4.2,0.7735849056603774,0.2392638036809816,303
,0.1,0.01,0,0.001,0,0,12,0.6924776819444471,4.023770213127136,143,4.033333333333333,3.933333333333333,0.6037735849056604,0.20279720279720279,190
,0.1,0.01,0.001,0.01,0,0,2,0.6757350429411857,12.976261456807455,275,8.866666666666667,8.8,0.453125,0.09818181818181818,172
,0.1,0.01,0,0.1,0,0,4,0.7475337193858239,22.54250494639079,147,5.066666666666666,5.0,0.375,0.10884353741496598,150
,0.1,0.01,0.001,0.0001,0,0,4,0.8555547037432271,8.614677985509237,250,7.4,7.2,0.7708333333333334,0.124,298
,0.1,0.01,0.001,0.1,0,0,1,0.9193849179052538,33.13652483622233,258,8.1,8.033333333333333,0.5074626865671642,0.12403100775193798,164
,0.1,0.01,0,0.01,0,0,10,0.6441691921603295,6.26973573366801,147,4.766666666666667,4.666666666666667,0.47058823529411764,0.14285714285714285,158
,0.1,0.01,0.001,0.0001,0,0,5,0.7818499265178558,24.611175219217937,287,8.366666666666667,8.3,0.7192982456140351,0.13588850174216027,340
,0.1,0.01,0,0.001,0,0,13,0.8300973773002625,53.08224296569824,169,5.433333333333334,5.366666666666666,0.4339622641509434,0.1242603550295858,216
,0.1,0.01,0,0.1,0,0,5,0.5854871638359562,29.3816073735555,174,5.566666666666666,5.533333333333333,0.3684210526315789,0.11494252873563218,191
,0.1,0.01,0.001,0.01,0,0,3,0.7455080574558627,68.80152448018391,256,8.266666666666667,8.266666666666667,0.4126984126984127,0.1015625,179
,0.1,0.01,0,0.0001,0,0,13,0.8718881933919845,12.494537989298502,194,5.466666666666667,5.4,0.7169811320754716,0.18556701030927836,315
,0.1,0.01,0.001,0.1,0,0,2,0.7577950569891161,13.586979389190674,249,7.7,7.6,0.515625,0.12048192771084337,151
,0.1,0.01,0,0.01,0,0,11,0.8021630875525936,29.74568748474121,201,6.4,6.4,0.47058823529411764,0.15920398009950248,191
,0.1,0.01,0.001,0.0001,0,0,6,0.835290007052883,5.85993750890096,290,8.2,8.2,0.75,0.16551724137931034,333
,0.1,0.01,0.001,0.001,0,0,0,0.7576552821743873,26.71595573425293,276,8.9,8.866666666666667,0.463768115942029,0.11231884057971014,242
,0.1,0.01,0,0.001,0,0,14,0.6743817963907796,6.428743998209636,193,5.433333333333334,5.333333333333333,0.711864406779661,0.20207253886010362,228
,0.1,0.01,0,0.1,0,0,6,0.6636099834595958,15.987938086191813,179,5.966666666666667,5.933333333333334,0.34375,0.11731843575418995,170
,0.1,0.01,0.001,0.1,0,0,3,0.718562283823567,67.43236033121745,256,8.133333333333333,8.066666666666666,0.5079365079365079,0.1171875,179
,0.1,0.01,0.01,0.001,0,0,0,0.6972439192956493,96.18348693847656,248,7.333333333333333,7.3,0.5942028985507246,0.16129032258064516,221
,0.1,0.01,0.001,0.01,0,0,4,0.8379857347857568,26.05163065592448,232,7.7,7.633333333333334,0.4166666666666667,0.07758620689655173,164
,0.1,0.01,0,0.0001,0,0,14,0.8185724769869158,2.355847716331482,217,5.833333333333333,5.733333333333333,0.8305084745762712,0.2119815668202765,341
,0.1,0.01,0.001,0.0001,0,0,7,0.9235703079931198,7.067062536875407,286,8.266666666666667,8.2,0.6774193548387096,0.13986013986013987,351
,0.1,0.01,0,0.01,0,0,12,0.7224366895614132,7.328220764795939,159,4.733333333333333,4.666666666666667,0.5094339622641509,0.15723270440251572,163
,0.1,0.01,0,0.001,0,0,15,0.6870866937022055,2.893393357594808,126,3.6,3.5,0.6428571428571429,0.19047619047619047,170
,0.1,0.01,0.001,0.1,0,0,4,0.7460993586048004,23.701218287150066,253,8.333333333333334,8.2,0.4375,0.06719367588932806,132
,0.1,0.01,0.001,0.001,0,0,1,0.7109148156258368,45.20970598856608,261,7.7,7.7,0.6119402985074627,0.15708812260536398,213
,0.1,0.01,0,0.1,0,0,7,0.7604834783461786,17.107628504435223,186,5.8,5.666666666666667,0.532258064516129,0.15591397849462366,189
,0.1,0.01,0.01,0.001,0,0,1,0.768729854014612,66.8420950571696,289,8.566666666666666,8.533333333333333,0.6865671641791045,0.15570934256055363,241
,0.1,0.01,0.001,0.01,0,0,5,0.6349765196923287,11.817526976267496,256,8.666666666666666,8.6,0.2807017543859649,0.0546875,166
,0.1,0.01,0.001,0.0001,0,0,8,0.9297261026597792,9.22062063217163,280,8.233333333333333,8.2,0.6507936507936508,0.14285714285714285,313
,0.1,0.01,0,0.0001,0,0,15,0.7926027063400515,2.498148481051127,153,4.266666666666667,4.2,0.7380952380952381,0.1895424836601307,226
,0.1,0.01,0.001,0.1,0,0,5,0.607916416660432,36.856922467549644,268,8.433333333333334,8.4,0.42105263157894735,0.08582089552238806,163
,0.1,0.01,0,0.001,0,0,16,0.582555845860512,3.642406702041626,148,4.166666666666667,4.133333333333334,0.62,0.20270270270270271,176
,0.1,0.01,0,0.01,0,0,13,0.7280727663347798,29.5733060836792,166,5.166666666666667,5.133333333333334,0.4528301886792453,0.13855421686746988,171
,0.1,0.01,0,0.1,0,0,8,0.6159028641639217,10.645828803380331,179,5.366666666666666,5.3,0.5555555555555556,0.18435754189944134,179
