MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count,graph_set
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,0,1.8711245963650365,1.6214555501937866,57,1.2333333333333334,1.2,0.6521739130434783,0.7719298245614035,100,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,1,1.6672713372015184,1.2455516656239827,64,0.7666666666666667,0.7,0.8208955223880597,0.828125,115,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,2,1.7402715356119218,1.5229754745960236,54,0.8666666666666667,0.8333333333333334,0.71875,0.8333333333333334,75,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,3,2.296635025931943,8.338720003763834,59,1.6,1.6,0.5714285714285714,0.6101694915254238,96,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,4,1.7059475048895805,1.9796287218729656,42,1.1333333333333333,1.1,0.5833333333333334,0.6428571428571429,102,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,5,1.5701683163642883,1.1793292462825775,50,0.3,0.3,0.8596491228070176,0.98,95,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,6,1.8721808810387888,1.5131387909253438,63,1.5,1.5,0.625,0.6349206349206349,127,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,7,1.6244446558337058,1.2828268508116405,57,0.6333333333333333,0.6333333333333333,0.8064516129032258,0.8771929824561403,91,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,8,1.729840224789035,4.439329395691554,52,1.0,0.9,0.6984126984126984,0.7884615384615384,87,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,9,1.5511791917585558,1.2877255082130432,52,0.6666666666666666,0.6333333333333333,0.7704918032786885,0.8846153846153846,93,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,10,1.3673580327341635,1.1204994320869446,43,0.5666666666666667,0.5333333333333333,0.7647058823529411,0.8837209302325582,100,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,11,1.5454044784269025,1.2672412892182667,58,0.6333333333333333,0.6,0.7941176470588235,0.9137931034482759,151,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
