MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,DAGS,i,train_loss,val_loss,size,nshd_c,nshd,tpr,prec_c,change_adj_count,graph_set
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,0,21270.993582589286,34321.40234375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,212,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,1,18838.510307384673,27522.279296875,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,251,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,2,18760.18292875744,28219.646484375,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,255,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,3,18850.17591610863,28078.666015625,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,259,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,4,19196.926027715774,27385.75,6,1.1818181818181819,1.2727272727272727,0.17647058823529413,0.6666666666666666,324,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,5,32453.990441313243,32055.572265625,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,271,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,6,33891.53857421875,30745.15625,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,218,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,7,26669.827746000745,33174.8515625,6,1.0,1.1818181818181819,0.23529411764705882,1.0,278,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,8,32749.11632719494,32337.83984375,6,1.0,1.1818181818181819,0.23529411764705882,1.0,257,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,9,46704.90316685268,23309.44921875,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,313,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,10,21418.71126767113,27524.298828125,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,244,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,11,23472.206859188987,26196.13671875,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,260,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,12,23724.28711983817,23034.0859375,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,237,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,13,40227.95196475074,24676.833984375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,267,Sachs_1
