MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,DAGS,i,train_loss,val_loss,size,nshd_c,nshd,tpr,prec_c,change_adj_count,graph_set
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,0,19821.813383556546,28170.609375,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,242,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,0,22618.076109095982,21400.09765625,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,232,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,1,18898.869605654763,23262.041015625,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,255,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,2,21931.86839890253,29977.486328125,6,1.0,1.1818181818181819,0.23529411764705882,1.0,263,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,3,29894.095119512647,28901.203125,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,232,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,4,37407.9324358259,21093.330078125,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,248,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,5,21530.143208240326,26037.6875,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,276,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,6,22206.41023530506,31052.099609375,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,295,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,7,20221.038760230655,23721.177734375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,268,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,8,27482.803776041666,28748.134765625,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,273,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,9,34548.72962472098,32906.41015625,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,265,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,10,20879.653720238097,27252.25,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,249,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,11,18224.553306361606,26547.91015625,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,305,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,12,21227.293133835567,30165.15234375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,226,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,13,20499.888339378722,26601.837890625,6,1.0,1.2727272727272727,0.17647058823529413,1.0,293,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,14,24066.610500372022,23266.865234375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,269,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,15,23039.49470796131,28854.146484375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,224,Sachs_1
,0.1,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,16,18041.356024460565,27098.052734375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,239,Sachs_1
